reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
d800c9a1-4e36-4d8e-befb-4c15c85260c4,Faisal Nur Abidin,https://play-lh.googleusercontent.com/a/ACg8ocKOEbkY3VdOQyAU410isK6pTck-Vo9EJWshXcsHSzhZTDTp8ic=mo,rezpon untuk pelayanan go food lemot,1,0,4.81.1,2024-04-28 18:53:56,"Hai Kak Faisal, mohon maaf atas ketidaknyamanannya. Kritik dan saran yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Ve",2024-04-29 02:14:11,4.81.1
9483c901-fe03-4389-92c9-599161ae5169,Semoga Ridho1973,https://play-lh.googleusercontent.com/a-/ALV-UjWM1GECrn4tT8AFipWCV5NDPCtokk9XYadopxGNuTF1fTHwZHmg,Gojek,5,0,,2024-04-28 18:16:37,,,
8e369ca7-ff81-403f-8f1c-4de93ee78c47,Puti Fatmawati,https://play-lh.googleusercontent.com/a-/ALV-UjWXawnQDcVb9yxD8pr3cjdBv7iYZ6v4hDwY2HEhmjPuP4FBmfSJZw,Do blokir terus aja gopaylaternya gpp biar saya ga bisa jajan dan pake lagi 🙏,1,1,4.85.3,2024-04-28 18:11:45,"Hai Kak Puti, mohon maaf atas ketidaknyamanan yang kamu alami terkait GoPay Later. Agar masalahnya dapat segera kami bantu, silakan ceritakan lebih lanjut kepada kami melalui email ke support@mab.co.id dan cantumkan kode psr-24-120-0156-520092 di subjek email, ya. ^Ve",2024-04-29 01:57:04,4.85.3
24672690-8924-4f0e-bb12-bf86b191a02d,Sultan Faiz,https://play-lh.googleusercontent.com/a-/ALV-UjWDsIGciL4schXs13N4nUomix6cPGkqjSK2Ap35kNnnaXSXSAU,"Tolong admin udah lihat yg viral sekarang gak? Byk oknum ojol yang melanggar lalu lintas seperti lawan arah klo misal di tegur sportive oke lah,tapi ini sampai manggil masa²nya (ojol² yang lain) apalgi sampai bawa penumpang tolong dong ditegasin seperti diberi peringatan SEMOGA ADMIN MEMBALAS ULASAN SAYA!!!!! TERUNTUK DAERAH JKT DAN SEKITARNYA",1,0,,2024-04-28 17:41:02,"Hai Kak Sultan, mohon maaf atas ketidaknyamanannya. Kritik dan saran yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Ve",2024-04-29 01:55:10,
baae2a87-2c68-44b1-bc63-c6e37355d268,Nanang Supriatna,https://play-lh.googleusercontent.com/a-/ALV-UjU_zm-Bf6Kjw64py4IYSyMHNd92QQPksA6qQWOubfmVL_KthSA,Selalu pakai aplikasi gojek dong....,5,0,4.85.3,2024-04-28 17:20:00,,,4.85.3
4a27f6e2-f7ba-4a04-8c46-77162e9af6d2,Alimul Haqq,https://play-lh.googleusercontent.com/a-/ALV-UjUhw2BNqFhQagb2z44opM0Egpa9A0DifxjLF8z3yakzCVcaGpI,bagus,5,0,4.85.3,2024-04-28 16:45:47,,,4.85.3
f4b0cfc1-8a20-46db-be1a-0cd38a7f006c,Mh Aldi,https://play-lh.googleusercontent.com/a/ACg8ocI5setWtYsRyt0zcW--WJnGp5lNiggyAEZVCXeolxliaz499A=mo,Alhamdulillah bisa membantu keuangan,5,0,4.85.3,2024-04-28 15:47:29,,,4.85.3
1ea49c0d-90e6-4e86-be2f-554b4439f5b5,Dwi Wulandari Aditia Nasution,https://play-lh.googleusercontent.com/a/ACg8ocKpJVWpt5Z4wkSh7cBFb2HJNazB7E3o-P1GIpv9PsdBD7Dn7A=mo,Bagus banget,4,0,4.86.1,2024-04-28 15:40:53,,,4.86.1
da6e03e4-9c22-40e8-ac4b-bce0aebd6494,Lukman kun,https://play-lh.googleusercontent.com/a-/ALV-UjWAkwoEf9BLiv9VmMlbZVbrmrRKjRTpvYZT29IuKIYE3T3z0hI,Nice,5,0,4.86.1,2024-04-28 15:38:59,,,4.86.1
1781b3d4-57be-4d1e-aabf-f5e6eed1a90e,Puji Ajah,https://play-lh.googleusercontent.com/a-/ALV-UjWu3ApL0K6uTLi1VbvYw-herR3dSXmH3jVvnM-Sa33vog20bvw,Sukses selalu gojek,5,0,4.85.3,2024-04-28 15:33:27,,,4.85.3
